produit,sens,annee,valeur,poids,edition
Parfumerie,import,2023,11252,23105,2024
Parfumerie,import,2024,14825,26111,2024
Produits des industries parachimiques,import,2020,90073,77393,2024
Produits des industries parachimiques,import,2021,103771,80799,2024
Produits des industries parachimiques,import,2022,115875,90437,2024
Produits des industries parachimiques,import,2023,119861,81015,2024
Produits des industries parachimiques,import,2024,122952,97454,2024
Matières plastiques artificielles,import,2020,130694,166618,2024
Matières plastiques artificielles,import,2021,172806,181258,2024
Matières plastiques artificielles,import,2022,219638,201653,2024
Matières plastiques artificielles,import,2023,188466,218023,2024
Matières plastiques artificielles,import,2024,194037,236731,2024
Pneus et chambres à air,import,2020,23561,26167,2024
Pneus et chambres à air,import,2021,21398,27724,2024
Pneus et chambres à air,import,2022,26715,29255,2024
Pneus et chambres à air,import,2023,29784,38478,2024
Pneus et chambres à air,import,2024,30438,38876,2024
Bois et ouvrages,import,2020,29397,110439,2024
Bois et ouvrages,import,2021,32959,119920,2024
Bois et ouvrages,import,2022,62916,234378,2024
Bois et ouvrages,import,2023,45428,269306,2024
Bois et ouvrages,import,2024,30971,107979,2024
"Papiers, cartons et applications",import,2020,71166,137430,2024
"Papiers, cartons et applications",import,2021,82596,146892,2024
"Papiers, cartons et applications",import,2022,104491,151486,2024
"Papiers, cartons et applications",import,2023,102796,163675,2024
"Papiers, cartons et applications",import,2024,99085,171209,2024
Filés et fils textiles,import,2020,4787,4740,2024
Filés et fils textiles,import,2021,5925,6273,2024
Filés et fils textiles,import,2022,7576,7427,2024
Filés et fils textiles,import,2023,4244,7260,2024
Filés et fils textiles,import,2024,4218,7312,2024
Tissus artificiels et synthétiques,import,2020,7112,15862,2024
Tissus artificiels et synthétiques,import,2021,8097,24242,2024
Tissus artificiels et synthétiques,import,2022,7469,28964,2024
Tissus artificiels et synthétiques,import,2023,7129,30404,2024
Tissus artificiels et synthétiques,import,2024,8324,33697,2024
Tissus de coton non imprimés,import,2020,3378,5414,2024
Tissus de coton non imprimés,import,2021,4391,5980,2024
Tissus de coton non imprimés,import,2022,3439,6127,2024
Tissus de coton non imprimés,import,2023,4352,10177,2024
Tissus de coton non imprimés,import,2024,4761,13635,2024
Tissus de coton imprimés,import,2020,1491,4032,2024
Tissus de coton imprimés,import,2021,1064,3502,2024
Tissus de coton imprimés,import,2022,1118,3636,2024
Tissus de coton imprimés,import,2023,1321,4737,2024
Tissus de coton imprimés,import,2024,1493,4879,2024
Autres tissus,import,2020,11474,13876,2024
Autres tissus,import,2021,11158,19469,2024
Autres tissus,import,2022,15787,20927,2024
Autres tissus,import,2023,16116,25009,2024
Autres tissus,import,2024,18009,28972,2024
Articles en tissus,import,2020,40872,67419,2024
Articles en tissus,import,2021,46961,91297,2024
Articles en tissus,import,2022,43438,91229,2024
Articles en tissus,import,2023,46183,107344,2024
Articles en tissus,import,2024,50814,117748,2024
Sacs d'emballage,import,2020,7733,4658,2024
Sacs d'emballage,import,2021,8418,5023,2024
Sacs d'emballage,import,2022,9365,4917,2024
Sacs d'emballage,import,2023,7707,4601,2024
Sacs d'emballage,import,2024,8066,4861,2024
Chaussures,import,2020,8418,15177,2024
Chaussures,import,2021,9826,21382,2024
Chaussures,import,2022,10350,22522,2024
Chaussures,import,2023,11609,27738,2024
Chaussures,import,2024,12134,27669,2024
"Pierre, céramique et verre",import,2020,56240,327472,2024
"Pierre, céramique et verre",import,2021,70501,390356,2024
"Pierre, céramique et verre",import,2022,80826,438040,2024
"Pierre, céramique et verre",import,2023,79907,522890,2024
"Pierre, céramique et verre",import,2024,81892,493372,2024
Métaux communs,import,2020,190377,520052,2024
Métaux communs,import,2021,279793,660210,2024
Métaux communs,import,2022,296751,584660,2024
Métaux communs,import,2023,248097,566456,2024
Métaux communs,import,2024,193576,433272,2024
"Tubes, tuyaux et accessoires",import,2020,32555,50505,2024
"Tubes, tuyaux et accessoires",import,2021,65605,57462,2024
"Tubes, tuyaux et accessoires",import,2022,148260,83186,2024
"Tubes, tuyaux et accessoires",import,2023,86487,68755,2024
"Tubes, tuyaux et accessoires",import,2024,43939,44217,2024
Articles de ménage et d'hygiène en métal,import,2020,8797,6981,2024
Articles de ménage et d'hygiène en métal,import,2021,6425,8303,2024
Articles de ménage et d'hygiène en métal,import,2022,4868,6171,2024
Articles de ménage et d'hygiène en métal,import,2023,4223,6574,2024
Articles de ménage et d'hygiène en métal,import,2024,5253,8718,2024
Autres ouvrages en métaux communs,import,2020,91483,75665,2024
Autres ouvrages en métaux communs,import,2021,112394,77882,2024
Autres ouvrages en métaux communs,import,2022,212160,139643,2024
Autres ouvrages en métaux communs,import,2023,205634,136795,2024
Autres ouvrages en métaux communs,import,2024,178496,110406,2024
Outillage et quincaillerie,import,2020,9021,11598,2024
Outillage et quincaillerie,import,2021,10217,13512,2024
Outillage et quincaillerie,import,2022,13066,16282,2024
Outillage et quincaillerie,import,2023,50895,22171,2024
Outillage et quincaillerie,import,2024,16880,20376,2024
Meubles et divers en métal,import,2020,11650,5532,2024
Meubles et divers en métal,import,2021,10606,6824,2024
Meubles et divers en métal,import,2022,14556,6719,2024
Meubles et divers en métal,import,2023,10629,6342,2024
Meubles et divers en métal,import,2024,11999,7297,2024
Moteurs et machines à moteurs,import,2020,58695,20971,2024
Moteurs et machines à moteurs,import,2021,47115,23306,2024
Moteurs et machines à moteurs,import,2022,40667,25078,2024
Moteurs et machines à moteurs,import,2023,67775,28388,2024
Moteurs et machines à moteurs,import,2024,63076,26912,2024
Machines et appareils pour l'agriculture,import,2020,10459,4161,2024
Machines et appareils pour l'agriculture,import,2021,12250,5296,2024
Machines et appareils pour l'agriculture,import,2022,11199,4703,2024
Machines et appareils pour l'agriculture,import,2023,13689,6475,2024
Machines et appareils pour l'agriculture,import,2024,11613,5895,2024
Machines et appareils pour industries alimentaires,import,2020,11289,2399,2024
Machines et appareils pour industries alimentaires,import,2021,10600,2542,2024
Machines et appareils pour industries alimentaires,import,2022,16054,3616,2024
Machines et appareils pour industries alimentaires,import,2023,14039,3887,2024
Machines et appareils pour industries alimentaires,import,2024,18212,5195,2024
Machines et appareils pour autres industries,import,2020,119074,41292,2024
Machines et appareils pour autres industries,import,2021,163050,47671,2024
Machines et appareils pour autres industries,import,2022,219861,58566,2024
Machines et appareils pour autres industries,import,2023,206755,56448,2024
Machines et appareils pour autres industries,import,2024,207130,60338,2024
Autres machines et appareils,import,2020,412727,128306,2024
Autres machines et appareils,import,2021,478079,139060,2024
Autres machines et appareils,import,2022,510331,155737,2024
Autres machines et appareils,import,2023,599283,171868,2024
Autres machines et appareils,import,2024,688848,187759,2024
Automobiles et cars,import,2020,107484,50261,2024
Automobiles et cars,import,2021,142547,65082,2024
Automobiles et cars,import,2022,118533,47577,2024
Automobiles et cars,import,2023,199675,56217,2024
Automobiles et cars,import,2024,178620,60158,2024
Camions et camionnettes,import,2020,49830,23782,2024
Camions et camionnettes,import,2021,69052,28901,2024
Camions et camionnettes,import,2022,91262,31106,2024
Camions et camionnettes,import,2023,118848,33437,2024
Camions et camionnettes,import,2024,99898,35445,2024
Pièces détachées automobiles,import,2020,19508,22211,2024
Pièces détachées automobiles,import,2021,27130,27845,2024
Pièces détachées automobiles,import,2022,24751,30771,2024
Pièces détachées automobiles,import,2023,27723,30878,2024
Pièces détachées automobiles,import,2024,30826,35631,2024
Autres véhicules terrestres,import,2020,125005,68891,2024
Autres véhicules terrestres,import,2021,102241,82650,2024
Autres véhicules terrestres,import,2022,120791,78201,2024
Autres véhicules terrestres,import,2023,280784,90325,2024
Autres véhicules terrestres,import,2024,200975,92848,2024
Autres matériels de transport,import,2020,37395,12484,2024
Autres matériels de transport,import,2021,25016,3454,2024
Autres matériels de transport,import,2022,251840,39963,2024
Autres matériels de transport,import,2023,150361,23233,2024
Autres matériels de transport,import,2024,210980,64471,2024
"Optique, horlogerie et matériel scientifique",import,2020,64732,7285,2024
"Optique, horlogerie et matériel scientifique",import,2021,81298,8670,2024
"Optique, horlogerie et matériel scientifique",import,2022,75507,8648,2024
"Optique, horlogerie et matériel scientifique",import,2023,91264,10887,2024
"Optique, horlogerie et matériel scientifique",import,2024,81348,11706,2024
Autres produits,import,2020,542450,3199761,2024
Autres produits,import,2021,668030,3978524,2024
Autres produits,import,2022,854933,3541276,2024
Autres produits,import,2023,777014,3730027,2024
Autres produits,import,2024,780108,3583881,2024
