region,sens,annee,valeur,poids,edition
Amérique centrale et du Sud,import,2023,258862,950238,2024
Amérique centrale et du Sud,import,2024,524753,1884937,2024
Asie occidentale,import,2020,172651,704704,2024
Asie occidentale,import,2021,293117,1196933,2024
Asie occidentale,import,2022,498735,1256556,2024
Asie occidentale,import,2023,457115,1311655,2024
Asie occidentale,import,2024,525104,1595213,2024
Autres pays d'Asie,import,2020,911061,1965667,2024
Autres pays d'Asie,import,2021,1288429,2599814,2024
Autres pays d'Asie,import,2022,1941608,2925157,2024
Autres pays d'Asie,import,2023,1739934,3069704,2024
Autres pays d'Asie,import,2024,1703153,3191409,2024
Océanie,import,2020,19220,3701,2024
Océanie,import,2021,17486,12557,2024
Océanie,import,2022,18718,8365,2024
Océanie,import,2023,29786,11805,2024
Océanie,import,2024,33731,41415,2024
Divers,import,2020,9552,40345,2024
Divers,import,2021,21345,72019,2024
Divers,import,2022,57223,146002,2024
Divers,import,2023,96654,92995,2024
Divers,import,2024,65812,49532,2024
