chapitre,sens,annee,valeur,poids,edition
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2024,2955,4214,2025
"Autres articles textiles confectionnés, assortiments, friperie et chiffons",export,2025,4780,4373,2025
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2021,6157,5859,2025
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2022,7203,6017,2025
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2023,5406,5018,2025
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2024,4144,3700,2025
"Chaussures, guêtres et articles analogues, parties de ces objets",export,2025,2998,2893,2025
Coiffures et parties de coiffures,export,2021,75,6,2025
Coiffures et parties de coiffures,export,2022,19,2,2025
Coiffures et parties de coiffures,export,2023,68,5,2025
Coiffures et parties de coiffures,export,2024,37,14,2025
Coiffures et parties de coiffures,export,2025,53,28,2025
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2021,0,1,2025
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2022,0,1,2025
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2023,0,1,2025
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2024,0,0,2025
"Parapluies, parasols, cannes, fouets, cravaches et leurs parties",export,2025,1,0,2025
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2021,37725,10149,2025
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2022,42596,9644,2025
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2023,41110,9721,2025
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2024,43708,10847,2025
"Plumes apprêtées, fleurs artificielles, ouvrages en cheveux",export,2025,42413,11503,2025
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2021,346,648,2025
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2022,656,15665,2025
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2023,488,1427,2025
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2024,398,446,2025
"Ouvrages en pierres, plâtre, ciment, amiante, mica ou matières analogues",export,2025,134,295,2025
Produits céramiques,export,2021,9319,103670,2025
Produits céramiques,export,2022,6582,75978,2025
Produits céramiques,export,2023,12846,90917,2025
Produits céramiques,export,2024,27362,146843,2025
Produits céramiques,export,2025,22926,126176,2025
Verre et ouvrages en verre,export,2021,1183,2087,2025
Verre et ouvrages en verre,export,2022,1748,2181,2025
Verre et ouvrages en verre,export,2023,1963,1912,2025
Verre et ouvrages en verre,export,2024,2226,2534,2025
Verre et ouvrages en verre,export,2025,2029,2783,2025
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2021,540534,29,2025
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2022,581666,94,2025
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2023,530882,293,2025
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2024,589128,66,2025
"Perles, pierres gemmes, métaux précieux, bijouterie fantaisie, monnaies",export,2025,978701,43,2025
